Filename,len(y_proba),nUnique(y_proba),len(fpr),nUnique(fpr),len(tpr),nUnique(tpr),len(fpr tpr),nUnique(fpr tpr)
BRFC_alpha_0_5_0_0_0_0_Hard.csv,802700,3022,2564,2182,2564,1386,2564,2564,
BRFC_alpha_0_5_0_0_0_0_Medium.csv,802700,35663,28631,25732,28631,12440,28631,28631,
BRFC_alpha_0_5_0_0_0_0_Easy.csv,802700,164232,144807,132514,144807,64792,144807,144807,
KBFC_alpha_0_5_gamma_0_0_0_0_0_0_Hard.csv,802700,782331,205139,118488,205139,89991,205139,205139,
KBFC_alpha_0_5_gamma_0_0_0_0_0_0_Medium.csv,802700,732156,266136,179705,266136,98495,266136,266136,
KBFC_alpha_0_5_gamma_0_0_0_0_0_0_Easy.csv,802700,177605,153546,139173,153546,66081,153546,153546,
BRFC_alpha_0_5_0_0_0_1_Hard.csv,802700,3386,2874,2455,2874,1531,2874,2874,
BRFC_alpha_0_5_0_0_0_1_Medium.csv,802700,40312,32073,28731,32073,13727,32073,32073,
BRFC_alpha_0_5_0_0_0_1_Easy.csv,802700,164232,144807,132514,144807,64792,144807,144807,
KBFC_alpha_0_5_gamma_0_0_0_0_0_1_Hard.csv,802700,781479,206131,119557,206131,90088,206131,206131,
KBFC_alpha_0_5_gamma_0_0_0_0_0_1_Medium.csv,802700,727981,269728,183734,269728,98493,269728,269728,
KBFC_alpha_0_5_gamma_0_0_0_0_0_1_Easy.csv,802700,177605,153546,139173,153546,66081,153546,153546,
BRFC_alpha_0_5_0_0_1_0_Hard.csv,802700,3187,2670,2293,2670,1393,2670,2670,
BRFC_alpha_0_5_0_0_1_0_Medium.csv,802700,39540,31911,28599,31911,13721,31911,31911,
BRFC_alpha_0_5_0_0_1_0_Easy.csv,802700,164214,144965,132677,144965,64765,144965,144965,
KBFC_alpha_0_5_gamma_0_0_0_0_1_0_Hard.csv,802700,782638,205269,118293,205269,90264,205269,205269,
KBFC_alpha_0_5_gamma_0_0_0_0_1_0_Medium.csv,802700,728561,268459,182496,268459,98678,268459,268459,
KBFC_alpha_0_5_gamma_0_0_0_0_1_0_Easy.csv,802700,177708,153581,139184,153581,66101,153581,153581,
BRFC_alpha_0_5_0_0_1_1_Hard.csv,802700,3535,2951,2568,2951,1506,2951,2951,
BRFC_alpha_0_5_0_0_1_1_Medium.csv,802700,45174,35779,31990,35779,15100,35779,35779,
BRFC_alpha_0_5_0_0_1_1_Easy.csv,802700,164214,144965,132677,144965,64765,144965,144965,
KBFC_alpha_0_5_gamma_0_0_0_0_1_1_Hard.csv,802700,781250,206927,120171,206927,90311,206927,206927,
KBFC_alpha_0_5_gamma_0_0_0_0_1_1_Medium.csv,802700,724135,272311,186715,272311,98768,272311,272311,
KBFC_alpha_0_5_gamma_0_0_0_0_1_1_Easy.csv,802700,177708,153581,139184,153581,66101,153581,153581,
BRFC_alpha_0_5_0_1_0_0_Hard.csv,802700,3033,2573,2211,2573,1363,2573,2573,
BRFC_alpha_0_5_0_1_0_0_Medium.csv,802700,35965,29008,26110,29008,12502,29008,29008,
BRFC_alpha_0_5_0_1_0_0_Easy.csv,802700,164169,144683,132453,144683,64744,144683,144683,
KBFC_alpha_0_5_gamma_0_0_0_1_0_0_Hard.csv,802700,782430,204936,118321,204936,89943,204936,204936,
KBFC_alpha_0_5_gamma_0_0_0_1_0_0_Medium.csv,802700,730821,268014,181654,268014,98628,268014,268014,
KBFC_alpha_0_5_gamma_0_0_0_1_0_0_Easy.csv,802700,177657,153469,139220,153469,65939,153469,153469,
BRFC_alpha_0_5_0_1_0_1_Hard.csv,802700,3347,2832,2450,2832,1473,2832,2832,
BRFC_alpha_0_5_0_1_0_1_Medium.csv,802700,41103,32726,29370,32726,13955,32726,32726,
BRFC_alpha_0_5_0_1_0_1_Easy.csv,802700,164169,144683,132453,144683,64744,144683,144683,
KBFC_alpha_0_5_gamma_0_0_0_1_0_1_Hard.csv,802700,781706,206067,119369,206067,90130,206067,206067,
KBFC_alpha_0_5_gamma_0_0_0_1_0_1_Medium.csv,802700,726893,270466,184805,270466,98401,270466,270466,
KBFC_alpha_0_5_gamma_0_0_0_1_0_1_Easy.csv,802700,177657,153469,139220,153469,65939,153469,153469,
BRFC_alpha_0_5_0_1_1_0_Hard.csv,802700,3196,2721,2329,2721,1427,2721,2721,
BRFC_alpha_0_5_0_1_1_0_Medium.csv,802700,39349,31621,28426,31621,13527,31621,31621,
BRFC_alpha_0_5_0_1_1_0_Easy.csv,802700,164214,144965,132677,144965,64765,144965,144965,
KBFC_alpha_0_5_gamma_0_0_0_1_1_0_Hard.csv,802700,781799,205959,119290,205959,90248,205959,205959,
KBFC_alpha_0_5_gamma_0_0_0_1_1_0_Medium.csv,802700,726628,269998,184541,269998,98781,269998,269998,
KBFC_alpha_0_5_gamma_0_0_0_1_1_0_Easy.csv,802700,177708,153581,139184,153581,66101,153581,153581,
BRFC_alpha_0_5_0_1_1_1_Hard.csv,802700,3543,3016,2548,3016,1582,3016,3016,
BRFC_alpha_0_5_0_1_1_1_Medium.csv,802700,44839,35484,31685,35484,15069,35484,35484,
BRFC_alpha_0_5_0_1_1_1_Easy.csv,802700,164214,144965,132677,144965,64765,144965,144965,
KBFC_alpha_0_5_gamma_0_0_0_1_1_1_Hard.csv,802700,781110,207065,120351,207065,90321,207065,207065,
KBFC_alpha_0_5_gamma_0_0_0_1_1_1_Medium.csv,802700,723273,273150,187727,273150,98701,273150,273150,
KBFC_alpha_0_5_gamma_0_0_0_1_1_1_Easy.csv,802700,177708,153581,139184,153581,66101,153581,153581,
BRFC_alpha_0_5_1_0_0_0_Hard.csv,802700,3042,2618,2214,2618,1415,2618,2618,
BRFC_alpha_0_5_1_0_0_0_Medium.csv,802700,35742,28758,25933,28758,12392,28758,28758,
BRFC_alpha_0_5_1_0_0_0_Easy.csv,802700,164405,145062,132858,145062,64851,145062,145062,
KBFC_alpha_0_5_gamma_0_0_1_0_0_0_Hard.csv,802700,781837,205949,119302,205949,90144,205949,205949,
KBFC_alpha_0_5_gamma_0_0_1_0_0_0_Medium.csv,802700,732646,266156,179505,266156,98509,266156,266156,
KBFC_alpha_0_5_gamma_0_0_1_0_0_0_Easy.csv,802700,177330,153329,139105,153329,66077,153329,153329,
BRFC_alpha_0_5_1_0_0_1_Hard.csv,802700,3391,2841,2403,2841,1507,2841,2841,
BRFC_alpha_0_5_1_0_0_1_Medium.csv,802700,40306,32073,28757,32073,13875,32073,32073,
BRFC_alpha_0_5_1_0_0_1_Easy.csv,802700,164405,145062,132858,145062,64851,145062,145062,
KBFC_alpha_0_5_gamma_0_0_1_0_0_1_Hard.csv,802700,781281,206312,119751,206312,89989,206312,206312,
KBFC_alpha_0_5_gamma_0_0_1_0_0_1_Medium.csv,802700,728344,269778,183545,269778,98593,269778,269778,
KBFC_alpha_0_5_gamma_0_0_1_0_0_1_Easy.csv,802700,177330,153329,139105,153329,66077,153329,153329,
BRFC_alpha_0_5_1_0_1_0_Hard.csv,802700,3151,2656,2277,2656,1408,2656,2656,
BRFC_alpha_0_5_1_0_1_0_Medium.csv,802700,39668,31853,28698,31853,13661,31853,31853,
BRFC_alpha_0_5_1_0_1_0_Easy.csv,802700,164589,145074,132791,145074,64803,145074,145074,
KBFC_alpha_0_5_gamma_0_0_1_0_1_0_Hard.csv,802700,781349,206623,119980,206623,90175,206623,206623,
KBFC_alpha_0_5_gamma_0_0_1_0_1_0_Medium.csv,802700,728970,268706,182355,268706,98848,268706,268706,
KBFC_alpha_0_5_gamma_0_0_1_0_1_0_Easy.csv,802700,177453,153554,139247,153554,66169,153554,153554,
BRFC_alpha_0_5_1_0_1_1_Hard.csv,802700,3590,3018,2573,3018,1574,3018,3018,
BRFC_alpha_0_5_1_0_1_1_Medium.csv,802700,45202,35892,32066,35892,15116,35892,35892,
BRFC_alpha_0_5_1_0_1_1_Easy.csv,802700,164589,145074,132791,145074,64803,145074,145074,
KBFC_alpha_0_5_gamma_0_0_1_0_1_1_Hard.csv,802700,781740,206962,119810,206962,90597,206962,206962,
KBFC_alpha_0_5_gamma_0_0_1_0_1_1_Medium.csv,802700,723303,272714,187088,272714,98878,272714,272714,
KBFC_alpha_0_5_gamma_0_0_1_0_1_1_Easy.csv,802700,177453,153554,139247,153554,66169,153554,153554,
BRFC_alpha_0_5_1_1_0_0_Hard.csv,802700,3021,2584,2197,2584,1340,2584,2584,
BRFC_alpha_0_5_1_1_0_0_Medium.csv,802700,36385,29340,26442,29340,12648,29340,29340,
BRFC_alpha_0_5_1_1_0_0_Easy.csv,802700,164451,144973,132734,144973,64781,144973,144973,
KBFC_alpha_0_5_gamma_0_0_1_1_0_0_Hard.csv,802700,782839,204959,117945,204959,90199,204959,204959,
KBFC_alpha_0_5_gamma_0_0_1_1_0_0_Medium.csv,802700,731879,266191,179809,266191,98461,266191,266191,
KBFC_alpha_0_5_gamma_0_0_1_1_0_0_Easy.csv,802700,177238,153301,139040,153301,66075,153301,153301,
BRFC_alpha_0_5_1_1_0_1_Hard.csv,802700,3389,2831,2415,2831,1486,2831,2831,
BRFC_alpha_0_5_1_1_0_1_Medium.csv,802700,41436,32909,29487,32909,14063,32909,32909,
BRFC_alpha_0_5_1_1_0_1_Easy.csv,802700,164451,144973,132734,144973,64781,144973,144973,
KBFC_alpha_0_5_gamma_0_0_1_1_0_1_Hard.csv,802700,781935,206209,119244,206209,90362,206209,206209,
KBFC_alpha_0_5_gamma_0_0_1_1_0_1_Medium.csv,802700,726701,270173,184436,270173,98372,270173,270173,
KBFC_alpha_0_5_gamma_0_0_1_1_0_1_Easy.csv,802700,177238,153301,139040,153301,66075,153301,153301,
BRFC_alpha_0_5_1_1_1_0_Hard.csv,802700,3078,2620,2247,2620,1396,2620,2620,
BRFC_alpha_0_5_1_1_1_0_Medium.csv,802700,39134,31547,28378,31547,13475,31547,31547,
BRFC_alpha_0_5_1_1_1_0_Easy.csv,802700,164589,145074,132791,145074,64803,145074,145074,
KBFC_alpha_0_5_gamma_0_0_1_1_1_0_Hard.csv,802700,781475,207236,120213,207236,90534,207236,207236,
KBFC_alpha_0_5_gamma_0_0_1_1_1_0_Medium.csv,802700,728873,268526,182405,268526,98694,268526,268526,
KBFC_alpha_0_5_gamma_0_0_1_1_1_0_Easy.csv,802700,177453,153554,139247,153554,66169,153554,153554,
BRFC_alpha_0_5_1_1_1_1_Hard.csv,802700,3551,2971,2526,2971,1584,2971,2971,
BRFC_alpha_0_5_1_1_1_1_Medium.csv,802700,44721,35409,31770,35409,14977,35409,35409,
BRFC_alpha_0_5_1_1_1_1_Easy.csv,802700,164589,145074,132791,145074,64803,145074,145074,
KBFC_alpha_0_5_gamma_0_0_1_1_1_1_Hard.csv,802700,781285,206880,120070,206880,90406,206880,206880,
KBFC_alpha_0_5_gamma_0_0_1_1_1_1_Medium.csv,802700,723784,272862,187162,272862,98887,272862,272862,
KBFC_alpha_0_5_gamma_0_0_1_1_1_1_Easy.csv,802700,177453,153554,139247,153554,66169,153554,153554,
