Index,Filename,Roll,Min/Max,Min,Max,Diff,y_proba,Prec,TN,FP,FN,TP,FP/P
2172,BRFC_alpha_0_5_0_1_1_0_Hard_Round_4,Prec_1,Min,0.785,0.7995,0.014499999999999957,0.785,0.6569162465892799,661607,14837,97847,28409,0.11751520719807375
2229,BRFC_alpha_0_5_0_1_1_0_Hard_Round_4,Prec_1,Max,0.785,0.7995,0.014499999999999957,0.7995,0.6696566258867072,663591,12853,100201,26055,0.10180110252186035
2171,BRFC_alpha_0_5_0_1_1_0_Hard_Round_4,Prec_10,Min,0.7848,0.8007,0.015899999999999914,0.7848,0.656706005733386,661567,14877,97815,28441,0.11783202382461032
2231,BRFC_alpha_0_5_0_1_1_0_Hard_Round_4,Prec_10,Max,0.7848,0.8007,0.015899999999999914,0.8007,0.6766681301181032,665249,11195,102268,23988,0.08866905335191991
2170,BRFC_alpha_0_5_0_1_1_0_Hard_Round_4,Prec_20,Min,0.7843,0.8007,0.01639999999999997,0.7843,0.656711867460279,661566,14878,97815,28441,0.11783994424027373
2231,BRFC_alpha_0_5_0_1_1_0_Hard_Round_4,Prec_20,Max,0.7843,0.8007,0.01639999999999997,0.8007,0.6760640773247839,665249,11195,102268,23988,0.08866905335191991
2171,BRFC_alpha_0_5_0_1_1_0_Hard_Round_4,Prec_50,Min,0.7848,0.8017,0.016899999999999915,0.7848,0.6567060973272992,661567,14877,97815,28441,0.11783202382461032
2234,BRFC_alpha_0_5_0_1_1_0_Hard_Round_4,Prec_50,Max,0.7848,0.8017,0.016899999999999915,0.8017,0.6765439027114497,665259,11185,102270,23986,0.08858984919528577
2173,BRFC_alpha_0_5_0_1_1_0_Hard_Round_4,Prec_100,Min,0.7856,0.8008,0.015199999999999991,0.7856,0.6567104927645987,661607,14837,97848,28408,0.11751520719807375
2232,BRFC_alpha_0_5_0_1_1_0_Hard_Round_4,Prec_100,Max,0.7856,0.8008,0.015199999999999991,0.8008,0.6765611371919626,665249,11195,102269,23987,0.08866905335191991
2180,BRFC_alpha_0_5_0_1_1_0_Hard_Round_4,Prec_200,Min,0.7877,0.803,0.015300000000000091,0.7877,0.6569086835479281,661646,14798,97884,28372,0.11720631098720061
2239,BRFC_alpha_0_5_0_1_1_0_Hard_Round_4,Prec_200,Max,0.7877,0.803,0.015300000000000091,0.803,0.6764578499871293,665268,11176,102283,23973,0.08851856545431504
2228,BRFC_alpha_0_5_0_1_1_0_Hard_Round_4,Prec_500,Min,0.7993,0.818,0.01869999999999994,0.7993,0.6569428107056466,663590,12854,100201,26055,0.10180902293752377
2295,BRFC_alpha_0_5_0_1_1_0_Hard_Round_4,Prec_500,Max,0.7993,0.818,0.01869999999999994,0.818,0.6766013741554372,666983,9461,104587,21669,0.07493505259156001
2150,BRFC_alpha_0_5_0_1_1_0_Hard_Round_4,Prec_1000,Max,,0.7792,,0.7792,0.5887263505404062,659579,16865,95630,30626,0.1335778101634774
1650,BRFC_alpha_0_5_0_1_1_0_Hard_Round_4,Prec_2000,Max,,0.6458,,0.6458,0.36051734501425514,613155,63289,65011,61245,0.5012751869218096
8989,BRFC_alpha_0_5_0_1_1_0_Medium_Round_4,Prec_1,Min,0.9668,0.9867,0.01990000000000003,0.9668,0.6567357512953368,675914,530,125242,1014,0.004197820301609428
9060,BRFC_alpha_0_5_0_1_1_0_Medium_Round_4,Prec_1,Max,0.9668,0.9867,0.01990000000000003,0.9867,0.6765873015873016,676281,163,125915,341,0.0012910277531364845
8993,BRFC_alpha_0_5_0_1_1_0_Medium_Round_4,Prec_10,Min,0.9673,0.9844,0.017100000000000004,0.9673,0.6570350123649616,675916,528,125245,1011,0.004181979470282601
9058,BRFC_alpha_0_5_0_1_1_0_Medium_Round_4,Prec_10,Max,0.9673,0.9844,0.017100000000000004,0.9844,0.6760267430754536,676271,173,125898,358,0.0013702319097706247
8993,BRFC_alpha_0_5_0_1_1_0_Medium_Round_4,Prec_20,Min,0.9673,0.984,0.016699999999999937,0.9673,0.6569527827356807,675916,528,125245,1011,0.004181979470282601
9056,BRFC_alpha_0_5_0_1_1_0_Medium_Round_4,Prec_20,Max,0.9673,0.984,0.016699999999999937,0.984,0.6759825327510918,676270,174,125897,359,0.0013781523254340388
8992,BRFC_alpha_0_5_0_1_1_0_Medium_Round_4,Prec_50,Min,0.9672,0.98,0.012800000000000034,0.9672,0.656982102815952,675915,529,125245,1011,0.004189899885946015
9045,BRFC_alpha_0_5_0_1_1_0_Medium_Round_4,Prec_50,Max,0.9672,0.98,0.012800000000000034,0.98,0.6764195318624707,676259,185,125880,376,0.001465276897731593
8994,BRFC_alpha_0_5_0_1_1_0_Medium_Round_4,Prec_100,Min,0.9675,0.9752,0.007699999999999929,0.9675,0.656828516323399,675918,526,125250,1006,0.004166138638955773
9028,BRFC_alpha_0_5_0_1_1_0_Medium_Round_4,Prec_100,Max,0.9675,0.9752,0.007699999999999929,0.9752,0.6671736857115695,676127,317,125602,654,0.002510771765302243
8978,BRFC_alpha_0_5_0_1_1_0_Medium_Round_4,Prec_200,Max,,0.9652,,0.9652,0.6499376866316231,675891,553,125217,1039,0.004379989861867951
8828,BRFC_alpha_0_5_0_1_1_0_Medium_Round_4,Prec_500,Max,,0.9402,,0.9402,0.6156484239861618,675125,1319,124100,2156,0.010447028260043087
8578,BRFC_alpha_0_5_0_1_1_0_Medium_Round_4,Prec_1000,Max,,0.9092,,0.9092,0.5736639835532735,672837,3607,120949,5307,0.028568939297934356
8078,BRFC_alpha_0_5_0_1_1_0_Medium_Round_4,Prec_2000,Max,,0.8561,,0.8561,0.49646595397726956,666151,10293,114292,11964,0.08152483842352047
9927,BRFC_alpha_0_5_0_1_1_0_Easy_Round_4,Prec_1,Max,,0.9992,,0.9992,0.5981308411214953,676315,129,126064,192,0.001021733620580408
9924,BRFC_alpha_0_5_0_1_1_0_Easy_Round_4,Prec_10,Max,,0.9988,,0.9988,0.6012700534759359,676313,131,126061,195,0.0010375744519072361
9919,BRFC_alpha_0_5_0_1_1_0_Easy_Round_4,Prec_20,Max,,0.998,,0.998,0.6038632986627043,676308,136,126046,210,0.001077176530224306
9904,BRFC_alpha_0_5_0_1_1_0_Easy_Round_4,Prec_50,Max,,0.995,,0.995,0.5939541731848716,676277,167,126003,253,0.0013227094157901406
9879,BRFC_alpha_0_5_0_1_1_0_Easy_Round_4,Prec_100,Max,,0.9908,,0.9908,0.5895336840146813,676213,231,125931,325,0.0018296160182486377
9829,BRFC_alpha_0_5_0_1_1_0_Easy_Round_4,Prec_200,Max,,0.9841,,0.9841,0.5843482106409035,676066,378,125736,520,0.0029939171207704982
9679,BRFC_alpha_0_5_0_1_1_0_Easy_Round_4,Prec_500,Max,,0.9685,,0.9685,0.5521801874572114,675631,813,125181,1075,0.006439297934355595
9429,BRFC_alpha_0_5_0_1_1_0_Easy_Round_4,Prec_1000,Max,,0.9435,,0.9435,0.5016268624987211,674411,2033,124010,2246,0.016102205043720695
8929,BRFC_alpha_0_5_0_1_1_0_Easy_Round_4,Prec_2000,Max,,0.8935,,0.8935,0.41559310742307304,669901,6543,120667,5589,0.051823279685717906
5688,KBFC_alpha_0_5_gamma_0_0_0_1_1_0_Hard_Round_4,Prec_1,Min,0.5691,0.9793,0.4101999999999999,0.5691,0.6567416161461131,667498,8946,109140,17116,0.07085603852490178
9269,KBFC_alpha_0_5_gamma_0_0_0_1_1_0_Hard_Round_4,Prec_1,Max,0.5691,0.9793,0.4101999999999999,0.9793,0.0,676443,1,126256,0,7.920415663414016e-06
5689,KBFC_alpha_0_5_gamma_0_0_0_1_1_0_Hard_Round_4,Prec_10,Min,0.5692,0.9699,0.40069999999999995,0.5692,0.6567336585066333,667504,8940,109144,17112,0.07080851603092131
9266,KBFC_alpha_0_5_gamma_0_0_0_1_1_0_Hard_Round_4,Prec_10,Max,0.5692,0.9699,0.40069999999999995,0.9699,0.5777777777777778,676442,2,126254,2,1.5840831326828033e-05
5690,KBFC_alpha_0_5_gamma_0_0_0_1_1_0_Hard_Round_4,Prec_20,Min,0.5693,0.9575,0.3882,0.5693,0.6567595118476953,667512,8932,109149,17107,0.07074515270561399
9261,KBFC_alpha_0_5_gamma_0_0_0_1_1_0_Hard_Round_4,Prec_20,Max,0.5693,0.9575,0.3882,0.9575,0.605,676441,3,126250,6,2.376124699024205e-05
5691,KBFC_alpha_0_5_gamma_0_0_0_1_1_0_Hard_Round_4,Prec_50,Min,0.5694,0.6004,0.031000000000000028,0.5694,0.65671653254826,667521,8923,109156,17100,0.07067386896464327
6001,KBFC_alpha_0_5_gamma_0_0_0_1_1_0_Hard_Round_4,Prec_50,Max,0.5694,0.6004,0.031000000000000028,0.6004,0.6766426528156907,669334,7110,111374,14882,0.056314155366873654
5693,KBFC_alpha_0_5_gamma_0_0_0_1_1_0_Hard_Round_4,Prec_100,Min,0.5696,0.6005,0.03090000000000004,0.5696,0.6567416166474891,667534,8910,109178,17078,0.07057090356101889
6002,KBFC_alpha_0_5_gamma_0_0_0_1_1_0_Hard_Round_4,Prec_100,Max,0.5696,0.6005,0.03090000000000004,0.6005,0.6766552027477036,669337,7107,111379,14877,0.05629039411988341
5698,KBFC_alpha_0_5_gamma_0_0_0_1_1_0_Hard_Round_4,Prec_200,Min,0.5701,0.6005,0.030399999999999983,0.5701,0.6567674328129394,667572,8872,109216,17040,0.07026992776580915
6002,KBFC_alpha_0_5_gamma_0_0_0_1_1_0_Hard_Round_4,Prec_200,Max,0.5701,0.6005,0.030399999999999983,0.6005,0.6766561711258517,669337,7107,111379,14877,0.05629039411988341
5708,KBFC_alpha_0_5_gamma_0_0_0_1_1_0_Hard_Round_4,Prec_500,Min,0.5711,0.6015,0.030399999999999983,0.5711,0.6567611015150158,667628,8816,109284,16972,0.06982638448865797
6012,KBFC_alpha_0_5_gamma_0_0_0_1_1_0_Hard_Round_4,Prec_500,Max,0.5711,0.6015,0.030399999999999983,0.6015,0.6766408406235792,669384,7060,111433,14823,0.055918134583702955
5747,KBFC_alpha_0_5_gamma_0_0_0_1_1_0_Hard_Round_4,Prec_1000,Min,0.575,0.6054,0.030400000000000094,0.575,0.6567231740758972,667880,8564,109580,16676,0.06783043974147764
6051,KBFC_alpha_0_5_gamma_0_0_0_1_1_0_Hard_Round_4,Prec_1000,Max,0.575,0.6054,0.030400000000000094,0.6054,0.6766861071446169,669589,6855,111699,14557,0.05429444937270308
5914,KBFC_alpha_0_5_gamma_0_0_0_1_1_0_Hard_Round_4,Prec_2000,Min,0.5917,0.6229,0.031200000000000006,0.5917,0.656733710564326,668873,7571,110770,15486,0.059965466987707515
6226,KBFC_alpha_0_5_gamma_0_0_0_1_1_0_Hard_Round_4,Prec_2000,Max,0.5917,0.6229,0.031200000000000006,0.6229,0.6766921518739013,670416,6028,112821,13435,0.047744265619059686
6932,KBFC_alpha_0_5_gamma_0_0_0_1_1_0_Medium_Round_4,Prec_1,Min,0.7042,0.8702,0.16599999999999993,0.7042,0.6588541666666666,676182,262,125750,506,0.0020751489038144722
7458,KBFC_alpha_0_5_gamma_0_0_0_1_1_0_Medium_Round_4,Prec_1,Max,0.7042,0.8702,0.16599999999999993,0.8702,0.0,676443,1,126256,0,7.920415663414016e-06
6933,KBFC_alpha_0_5_gamma_0_0_0_1_1_0_Medium_Round_4,Prec_10,Min,0.7043,0.7852,0.08089999999999997,0.7043,0.656766966262863,676184,260,125752,504,0.002059308072487644
7364,KBFC_alpha_0_5_gamma_0_0_0_1_1_0_Medium_Round_4,Prec_10,Max,0.7043,0.7852,0.08089999999999997,0.7852,0.676056338028169,676410,34,126184,72,0.0002692941325560765
6940,KBFC_alpha_0_5_gamma_0_0_0_1_1_0_Medium_Round_4,Prec_20,Min,0.7051,0.7839,0.07880000000000009,0.7051,0.6567193938588329,676185,259,125765,491,0.00205138765682423
7360,KBFC_alpha_0_5_gamma_0_0_0_1_1_0_Medium_Round_4,Prec_20,Max,0.7051,0.7839,0.07880000000000009,0.7839,0.6753950338600451,676408,36,126182,74,0.0002851349638829046
6973,KBFC_alpha_0_5_gamma_0_0_0_1_1_0_Medium_Round_4,Prec_50,Min,0.709,0.7683,0.05930000000000002,0.709,0.6568210117858281,676203,241,125804,452,0.0019088201748827778
7306,KBFC_alpha_0_5_gamma_0_0_0_1_1_0_Medium_Round_4,Prec_50,Max,0.709,0.7683,0.05930000000000002,0.7683,0.6765266106442578,676387,57,126135,121,0.0004514636928145989
6957,KBFC_alpha_0_5_gamma_0_0_0_1_1_0_Medium_Round_4,Prec_100,Min,0.7072,0.7565,0.0492999999999999,0.7072,0.6567969560705638,676197,247,125782,474,0.001956342668863262
7259,KBFC_alpha_0_5_gamma_0_0_0_1_1_0_Medium_Round_4,Prec_100,Max,0.7072,0.7565,0.0492999999999999,0.7565,0.6766681968034053,676368,76,126095,161,0.0006019515904194653
6940,KBFC_alpha_0_5_gamma_0_0_0_1_1_0_Medium_Round_4,Prec_200,Min,0.7051,0.7641,0.05900000000000005,0.7051,0.6567740148026967,676185,259,125765,491,0.00205138765682423
7287,KBFC_alpha_0_5_gamma_0_0_0_1_1_0_Medium_Round_4,Prec_200,Max,0.7051,0.7641,0.05900000000000005,0.7641,0.6766821939858059,676378,66,126121,135,0.0005227474337853251
7004,KBFC_alpha_0_5_gamma_0_0_0_1_1_0_Medium_Round_4,Prec_500,Min,0.7128,0.7458,0.03300000000000003,0.7128,0.6567086990249912,676235,209,125839,417,0.0016553668736535294
7210,KBFC_alpha_0_5_gamma_0_0_0_1_1_0_Medium_Round_4,Prec_500,Max,0.7128,0.7458,0.03300000000000003,0.7458,0.6680182274714033,676340,104,126048,208,0.0008237232289950577
6960,KBFC_alpha_0_5_gamma_0_0_0_1_1_0_Medium_Round_4,Prec_1000,Max,,0.7076,,0.7076,0.6492132978126683,676198,246,125788,468,0.001948422253199848
6460,KBFC_alpha_0_5_gamma_0_0_0_1_1_0_Medium_Round_4,Prec_2000,Max,,0.6514,,0.6514,0.6050749813144615,675704,740,124978,1278,0.005861107590926372
4381,KBFC_alpha_0_5_gamma_0_0_0_1_1_0_Easy_Round_4,Prec_1,Min,0.4978,0.5029,0.005099999999999993,0.4978,0.7,676441,3,126249,7,2.376124699024205e-05
4383,KBFC_alpha_0_5_gamma_0_0_0_1_1_0_Easy_Round_4,Prec_1,Max,0.4978,0.5029,0.005099999999999993,0.5029,0.6,676442,2,126253,3,1.5840831326828033e-05
4382,KBFC_alpha_0_5_gamma_0_0_0_1_1_0_Easy_Round_4,Prec_10,Max,,0.5005,,0.5005,0.5546218487394958,676441,3,126250,6,2.376124699024205e-05
4377,KBFC_alpha_0_5_gamma_0_0_0_1_1_0_Easy_Round_4,Prec_20,Max,,0.4927,,0.4927,0.5478260869565217,676431,13,126244,12,0.00010296540362438221
4362,KBFC_alpha_0_5_gamma_0_0_0_1_1_0_Easy_Round_4,Prec_50,Max,,0.4827,,0.4827,0.48288,676412,32,126221,35,0.0002534533012292485
4337,KBFC_alpha_0_5_gamma_0_0_0_1_1_0_Easy_Round_4,Prec_100,Max,,0.4743,,0.4743,0.4685507360466032,676379,65,126202,54,0.000514827018121911
4287,KBFC_alpha_0_5_gamma_0_0_0_1_1_0_Easy_Round_4,Prec_200,Max,,0.4647,,0.4647,0.45874895124452314,676298,146,126130,126,0.0011563806868584462
4137,KBFC_alpha_0_5_gamma_0_0_0_1_1_0_Easy_Round_4,Prec_500,Max,,0.4423,,0.4423,0.43632390102886615,676046,398,125928,328,0.0031523254340387785
3887,KBFC_alpha_0_5_gamma_0_0_0_1_1_0_Easy_Round_4,Prec_1000,Max,,0.4135,,0.4135,0.4019625598832612,675329,1115,125431,825,0.008831263464706628
3387,KBFC_alpha_0_5_gamma_0_0_0_1_1_0_Easy_Round_4,Prec_2000,Max,,0.363,,0.363,0.3403908309376517,671128,5316,122985,3271,0.04210492966670891
